Time(s),Length(m),[Calcium],Force(N)
 0.076,0.271366,0.994483,41.551188
 0.078,0.271439,0.996302,43.775414
 0.080,0.271509,0.997521,45.890934
 0.082,0.271575,0.998338,47.902416
 0.084,0.271638,0.998886,49.814810
 0.086,0.271697,0.999253,51.634769
 0.088,0.271754,0.999500,53.364105
 0.090,0.271808,0.999665,55.010169
 0.092,0.271860,0.999775,56.576461
 0.094,0.271909,0.999849,58.065850
 0.096,0.271955,0.999899,59.484190
 0.098,0.272000,0.999932,60.833638
 0.100,0.272042,0.999955,62.117685
 0.102,0.272082,0.999970,63.341064
 0.104,0.272120,0.999980,64.505002
 0.106,0.272157,0.999986,65.613084
 0.108,0.272192,0.999991,66.669320
 0.110,0.272225,0.999994,67.675067
 0.112,0.272256,0.999996,68.632103
 0.114,0.272286,0.999997,69.544798
 0.116,0.272315,0.999998,70.415297
 0.118,0.272342,0.999999,71.242467
 0.120,0.272368,0.999999,72.031696
 0.122,0.272393,0.999999,72.784844
 0.124,0.272416,1.000000,73.502624
 0.126,0.272439,1.000000,74.185430
 0.128,0.272460,1.000000,74.837335
 0.130,0.272481,1.000000,75.459833
 0.132,0.272500,1.000000,76.053384
 0.134,0.272519,1.000000,76.617765
 0.136,0.272536,1.000000,77.156968
 0.138,0.272553,1.000000,77.672170
 0.140,0.272569,1.000000,78.165470
 0.142,0.272585,1.000000,78.632354
 0.144,0.272599,1.000000,79.078702
 0.146,0.272614,1.000000,79.505485
 0.148,0.272627,1.000000,79.913601
 0.150,0.272640,1.000000,80.305124
 0.152,0.272652,1.000000,80.674659
 0.154,0.272664,1.000000,81.028219
 0.156,0.272675,1.000000,81.366542
 0.158,0.272685,1.000000,81.690333
 0.160,0.272696,1.000000,82.000843
 0.162,0.272705,1.000000,82.298074
 0.164,0.272715,1.000000,82.578228
 0.166,0.272723,1.000000,82.846515
 0.168,0.272732,1.000000,83.103471
 0.170,0.272740,1.000000,83.349606
 0.172,0.272748,1.000000,83.585406
 0.174,0.272755,1.000000,83.815198
 0.176,0.272762,1.000000,84.029601
 0.178,0.272769,1.000000,84.233120
 0.180,0.272775,1.000000,84.428263
 0.182,0.272781,1.000000,84.615361
 0.184,0.272787,1.000000,84.794755
 0.186,0.272793,1.000000,84.966782
 0.188,0.272798,1.000000,85.132095
 0.190,0.272804,1.000000,85.295203
 0.192,0.272809,1.000000,85.447803
 0.194,0.272813,1.000000,85.589116
 0.196,0.272818,1.000000,85.724785
 0.198,0.272822,1.000000,85.855048
 0.200,0.272826,1.000000,85.980132
 0.202,0.272830,1.000000,86.100255
 0.204,0.272834,1.000000,86.215624
 0.206,0.272838,1.000000,86.326440
 0.208,0.272841,1.000000,86.432893
 0.210,0.272845,1.000000,86.538195
 0.212,0.272848,1.000000,86.641053
 0.214,0.272851,1.000000,86.739681
 0.216,0.272854,1.000000,86.825785
 0.218,0.272857,1.000000,86.908296
 0.220,0.272859,1.000000,86.987653
 0.222,0.272862,1.000000,87.063980
 0.224,0.272864,1.000000,87.137396
 0.226,0.272867,1.000000,87.208015
 0.228,0.272869,1.000000,87.275947
 0.230,0.272871,1.000000,87.341297
 0.232,0.272873,1.000000,87.404166
 0.234,0.272875,1.000000,87.464652
 0.236,0.272877,1.000000,87.522847
 0.238,0.272879,1.000000,87.579675
 0.240,0.272881,1.000000,87.638357
 0.242,0.272883,1.000000,87.694658
 0.244,0.272884,1.000000,87.748681
 0.246,0.272886,1.000000,87.800527
 0.248,0.272888,1.000000,87.850289
 0.250,0.272889,1.000000,87.898059
 0.252,0.272891,1.000000,87.943921
 0.254,0.272892,1.000000,87.981424
 0.256,0.272893,1.000000,88.015384
 0.258,0.272894,1.000000,88.048236
 0.260,0.272895,1.000000,88.080014
 0.262,0.272896,1.000000,88.110751
 0.264,0.272897,1.000000,88.140480
 0.266,0.272898,1.000000,88.169231
 0.268,0.272899,1.000000,88.197029
 0.270,0.272900,1.000000,88.223874
 0.272,0.272901,1.000000,88.249794
 0.274,0.272902,1.000000,88.274815
 0.276,0.272903,1.000000,88.298967
 0.278,0.272903,1.000000,88.322276
 0.280,0.272904,1.000000,88.344769
 0.282,0.272905,1.000000,88.366471
 0.284,0.272905,1.000000,88.387407
 0.286,0.272906,1.000000,88.407603
 0.288,0.272907,1.000000,88.427083
 0.290,0.272907,1.000000,88.445869
 0.292,0.272908,1.000000,88.463984
 0.294,0.272909,1.000000,88.481451
 0.296,0.272909,1.000000,88.498292
 0.298,0.272910,1.000000,88.515217
 0.300,0.272910,1.000000,88.535638
 0.302,0.272911,1.000000,88.555136
 0.304,0.272912,1.000000,88.573755
 0.306,0.272912,1.000000,88.591537
 0.308,0.272913,1.000000,88.608523
 0.310,0.272913,1.000000,88.624751
 0.312,0.272914,1.000000,88.640257
 0.314,0.272914,1.000000,88.655074
 0.316,0.272915,1.000000,88.669237
 0.318,0.272915,1.000000,88.682775
 0.320,0.272916,1.000000,88.695718
 0.322,0.272916,1.000000,88.708094
 0.324,0.272916,1.000000,88.719930
 0.326,0.272917,1.000000,88.731251
 0.328,0.272917,1.000000,88.742081
 0.330,0.272917,1.000000,88.752443
 0.332,0.272918,1.000000,88.762358
 0.334,0.272918,1.000000,88.771847
 0.336,0.272918,1.000000,88.780929
 0.338,0.272919,1.000000,88.789624
 0.340,0.272919,1.000000,88.797949
 0.342,0.272919,1.000000,88.805921
 0.344,0.272919,1.000000,88.813556
 0.346,0.272920,1.000000,88.820869
 0.348,0.272920,1.000000,88.827876
 0.350,0.272920,1.000000,88.834589
 0.352,0.272920,1.000000,88.841021
 0.354,0.272921,1.000000,88.847187
 0.356,0.272921,1.000000,88.853096
 0.358,0.272921,1.000000,88.858762
 0.360,0.272921,1.000000,88.864194
 0.362,0.272921,1.000000,88.869404
 0.364,0.272921,1.000000,88.874400
 0.366,0.272922,1.000000,88.879193
 0.368,0.272922,1.000000,88.883790
 0.370,0.272922,1.000000,88.888202
 0.372,0.272922,1.000000,88.892436
 0.374,0.272922,1.000000,88.896499
 0.376,0.272922,1.000000,88.900399
 0.378,0.272922,1.000000,88.904143
 0.380,0.272923,1.000000,88.907739
 0.382,0.272923,1.000000,88.911191
 0.384,0.272923,1.000000,88.914507
 0.386,0.272923,1.000000,88.917692
 0.388,0.272923,1.000000,88.920752
 0.390,0.272923,1.000000,88.923692
 0.392,0.272923,1.000000,88.926517
 0.394,0.272923,1.000000,88.929233
 0.396,0.272923,1.000000,88.931843
 0.398,0.272923,1.000000,88.934352
